R1;R2;R3;R4;R5;label
0.0;0.05;0.14;0.57;1.92;1
0.02;0.04;0.16;0.63;1.92;1
0.0;0.02;0.08;0.48;1.28;1
0.02;0.05;0.27;0.56;1.37;1
0.03;0.1;0.22;0.53;1.16;1
0.02;0.05;0.09;0.23;0.9;1
0.0;0.05;0.08;0.34;0.87;1
0.0;0.04;0.14;0.3;1.24;1
0.04;0.08;0.25;0.61;1.4;1
0.01;0.05;0.2;0.73;1.53;1
0.01;0.04;0.12;0.25;1.09;1
0.04;0.07;0.16;0.48;1.26;1
0.02;0.02;0.13;0.4;1.48;1
0.01;0.07;0.21;0.7;1.59;1
0.01;0.02;0.12;0.69;1.98;1
0.0;0.02;0.12;0.67;1.81;1
0.01;0.04;0.17;0.66;1.87;1
0.01;0.02;0.11;0.4;0.93;1
0.0;0.02;0.13;0.66;1.69;1
0.02;0.02;0.14;0.42;1.56;1
0.01;0.05;0.12;0.39;1.33;1
0.0;0.03;0.12;0.38;1.25;1
0.0;0.03;0.15;0.6;1.21;1
0.03;0.04;0.13;0.55;1.87;1
0.02;0.05;0.15;0.4;1.5;1
0.0;0.04;0.16;0.63;1.48;1
0.03;0.04;0.15;0.38;0.92;1
0.01;0.09;0.23;0.58;1.64;1
0.0;0.04;0.09;0.43;1.24;1
0.03;0.05;0.23;0.74;1.63;1
0.03;0.05;0.13;0.4;1.4;1
0.0;0.02;0.16;0.47;1.38;1
0.0;0.04;0.16;0.49;1.47;1
0.01;0.05;0.14;0.41;1.4;1
0.03;0.04;0.11;0.36;1.44;1
0.02;0.06;0.25;0.61;1.42;1
0.01;0.02;0.16;0.44;1.44;1
0.02;0.04;0.13;0.42;1.53;1
0.02;0.05;0.19;0.59;1.71;1
0.0;0.04;0.14;0.59;1.4;1
0.02;0.1;0.29;0.59;1.35;1
0.01;0.1;0.21;0.52;1.51;1
0.03;0.08;0.26;0.58;1.38;1
0.02;0.05;0.13;0.56;1.88;1
0.02;0.04;0.23;0.5;1.26;1
0.03;0.06;0.15;0.46;1.22;1
0.02;0.05;0.1;0.57;1.88;1
0.01;0.02;0.09;0.66;1.93;1
0.01;0.03;0.2;0.77;1.69;1
0.02;0.09;0.27;0.54;1.31;1
0.0;0.03;0.1;0.4;1.27;1
0.01;0.02;0.11;0.48;1.15;1
0.01;0.02;0.17;0.52;1.57;1
0.03;0.12;0.21;0.57;1.24;1
0.02;0.03;0.07;0.22;0.88;1
0.01;0.02;0.11;0.53;1.16;1
0.02;0.09;0.29;0.63;1.37;1
0.01;0.07;0.14;0.49;1.26;1
0.01;0.04;0.19;0.69;1.48;1
0.0;0.03;0.12;0.47;1.38;1
0.0;0.0;0.07;0.21;0.72;2
0.01;0.01;0.02;0.17;0.54;2
0.0;0.0;0.04;0.09;0.56;2
0.0;0.0;0.06;0.15;0.26;2
0.0;0.02;0.04;0.18;0.75;2
0.0;0.0;0.01;0.14;0.73;2
0.0;0.0;0.04;0.16;0.65;2
0.0;0.02;0.04;0.1;0.44;2
0.01;0.02;0.06;0.22;0.57;2
0.0;0.01;0.1;0.22;0.59;2
0.01;0.01;0.03;0.15;0.44;2
0.01;0.01;0.05;0.15;0.49;2
0.0;0.0;0.01;0.09;0.24;2
0.0;0.02;0.07;0.13;0.4;2
0.0;0.0;0.04;0.11;0.36;2
0.0;0.01;0.06;0.21;0.69;2
0.0;0.01;0.02;0.13;0.55;2
0.03;0.06;0.12;0.21;0.66;2
0.01;0.01;0.07;0.18;0.74;2
0.01;0.02;0.06;0.18;0.59;2
0.0;0.0;0.04;0.13;0.45;2
0.01;0.03;0.04;0.12;0.34;2
0.0;0.0;0.01;0.24;0.74;2
0.0;0.0;0.03;0.12;0.35;2
0.0;0.0;0.0;0.1;0.52;2
0.0;0.0;0.02;0.21;0.46;2
0.0;0.02;0.09;0.2;0.65;2
0.0;0.02;0.09;0.21;0.58;2
0.02;0.02;0.04;0.2;0.74;2
0.0;0.03;0.08;0.2;0.58;2
0.0;0.01;0.03;0.09;0.22;2
0.0;0.0;0.04;0.15;0.34;2
0.0;0.0;0.01;0.06;0.31;2
0.0;0.0;0.05;0.18;0.52;2
0.01;0.01;0.03;0.14;0.43;2
0.0;0.02;0.06;0.16;0.32;2
0.0;0.03;0.05;0.19;0.72;2
0.0;0.02;0.04;0.12;0.45;2
0.0;0.0;0.04;0.17;0.47;2
0.0;0.02;0.06;0.17;0.45;2
0.0;0.01;0.05;0.17;0.52;2
0.01;0.02;0.08;0.18;0.5;2
0.0;0.0;0.02;0.17;0.56;2
0.0;0.01;0.1;0.22;0.65;2
0.0;0.0;0.04;0.18;0.89;2
0.0;0.0;0.02;0.2;0.8;2
0.0;0.0;0.0;0.04;0.53;2
0.0;0.02;0.05;0.24;0.54;2
0.0;0.0;0.05;0.16;0.78;2
0.0;0.0;0.02;0.08;0.59;2
0.01;0.01;0.03;0.12;0.41;2
0.02;0.02;0.04;0.2;0.75;2
0.0;0.01;0.11;0.23;0.68;2
0.0;0.0;0.07;0.2;0.5;2
0.0;0.0;0.02;0.22;0.79;2
0.01;0.01;0.07;0.16;0.78;2
0.0;0.02;0.04;0.1;0.22;2
0.03;0.05;0.08;0.21;0.66;2
0.0;0.01;0.07;0.19;0.63;2
0.0;0.0;0.04;0.15;0.51;2
0.0;0.0;0.06;0.21;0.61;2
0.0;0.01;0.03;0.1;0.36;2
0.0;0.01;0.02;0.17;0.66;2
0.01;0.01;0.05;0.15;0.48;2
0.0;0.02;0.05;0.21;0.77;2
0.0;0.0;0.02;0.07;0.66;2
0.0;0.01;0.04;0.18;0.7;2
0.0;0.0;0.03;0.13;0.29;2
0.0;0.01;0.04;0.1;0.36;2
0.01;0.03;0.08;0.2;0.75;2
0.0;0.0;0.04;0.25;0.82;2
0.01;0.01;0.04;0.15;0.76;2
0.0;0.0;0.01;0.11;0.56;2
0.0;0.02;0.05;0.2;0.78;2
0.0;0.0;0.03;0.14;0.27;2
0.0;0.02;0.08;0.2;0.84;2
0.01;0.01;0.05;0.21;0.84;2
0.0;0.01;0.05;0.22;0.56;2
0.0;0.01;0.03;0.06;0.94;2
0.03;0.06;0.1;0.21;0.66;2
0.0;0.01;0.06;0.24;0.58;2
0.01;0.01;0.02;0.12;0.45;2
0.0;0.02;0.04;0.17;0.42;2
0.0;0.0;0.02;0.19;0.78;2
0.01;0.02;0.03;0.08;0.28;2
0.02;0.02;0.04;0.12;0.34;2
0.0;0.03;0.1;0.18;0.81;2
0.0;0.01;0.04;0.23;0.61;2
0.0;0.0;0.03;0.11;0.46;2
0.0;0.0;0.02;0.1;0.46;2
0.0;0.02;0.08;0.2;0.52;2
0.0;0.01;0.03;0.13;0.36;2
0.0;0.02;0.05;0.15;0.27;2
0.0;0.02;0.08;0.21;0.58;2
0.01;0.06;0.08;0.19;0.86;2
0.0;0.01;0.05;0.23;0.67;2
0.0;0.02;0.07;0.2;0.73;2
0.0;0.0;0.04;0.13;0.71;2
0.02;0.02;0.04;0.2;0.73;2
0.0;0.01;0.04;0.15;0.64;2
0.0;0.0;0.04;0.07;0.49;2
0.01;0.01;0.04;0.13;0.53;2
0.0;0.0;0.03;0.16;0.37;2
0.0;0.02;0.05;0.16;0.74;2
0.01;0.02;0.07;0.18;0.59;2
0.0;0.01;0.02;0.14;0.57;2
0.0;0.01;0.04;0.16;0.8;2
0.0;0.05;0.08;0.22;0.66;2
0.0;0.03;0.07;0.23;0.58;2
0.0;0.01;0.04;0.1;0.22;2
0.0;0.02;0.04;0.17;0.42;2
0.0;0.01;0.06;0.19;0.83;2
0.0;0.02;0.04;0.16;0.75;2
0.0;0.0;0.0;0.18;0.49;2
0.0;0.0;0.04;0.08;0.42;2
