R1;R2;R3;R4;R5;label
0.02;0.06;0.45;1.56;3.7;4
0.01;0.18;0.53;1.81;7.45;4
0.0;0.09;0.29;0.69;2.47;4
0.02;0.1;0.42;1.64;6.75;4
0.04;0.11;0.35;1.04;2.85;4
0.01;0.1;0.37;1.23;3.31;4
0.04;0.12;0.48;1.73;6.65;4
0.02;0.09;0.44;1.65;4.79;4
0.04;0.12;0.5;2.21;6.46;4
0.04;0.16;0.55;2.15;5.69;4
0.04;0.2;0.65;2.02;5.5;4
0.01;0.12;0.41;1.18;3.43;4
0.02;0.1;0.47;2.01;6.88;4
0.02;0.13;0.34;1.11;4.4;4
0.03;0.11;0.31;0.94;3.81;4
0.06;0.13;0.49;1.73;6.17;4
0.05;0.1;0.42;2.14;5.28;4
0.04;0.15;0.53;1.76;6.04;4
0.05;0.2;0.35;0.8;2.58;4
0.08;0.17;0.61;2.18;7.09;4
0.0;0.04;0.19;0.85;3.63;4
0.0;0.04;0.3;1.18;4.21;4
0.0;0.11;0.42;2.22;5.52;4
0.02;0.09;0.48;1.75;7.2;4
0.07;0.17;0.57;2.11;7.15;4
0.05;0.1;0.31;1.22;3.33;4
0.03;0.12;0.45;1.82;5.65;4
0.03;0.08;0.58;1.79;5.51;4
0.04;0.1;0.39;1.84;7.75;4
0.01;0.09;0.41;1.79;7.32;4
0.07;0.2;0.67;1.92;5.69;4
0.02;0.06;0.24;0.61;2.3;4
0.03;0.13;0.53;2.17;6.72;4
0.01;0.05;0.24;1.06;3.5;4
0.0;0.06;0.47;1.71;5.38;4
0.08;0.18;0.56;2.12;6.85;4
0.03;0.12;0.4;1.74;7.48;4
0.04;0.2;0.47;1.44;4.57;4
0.02;0.12;0.45;1.36;4.31;4
0.03;0.11;0.57;2.03;5.96;4
0.04;0.12;0.43;1.77;6.6;4
0.02;0.07;0.35;1.86;6.25;4
0.02;0.1;0.37;1.88;7.78;4
0.04;0.1;0.48;1.94;6.66;4
0.02;0.15;0.61;2.1;7.01;4
0.01;0.08;0.65;2.14;6.75;4
0.03;0.07;0.38;1.42;4.55;4
0.05;0.11;0.41;1.81;7.59;4
0.05;0.15;0.53;1.72;4.69;4
0.02;0.09;0.45;1.71;4.32;4
0.03;0.13;0.36;1.66;7.42;4
0.06;0.16;0.53;1.79;4.82;4
0.0;0.05;0.38;1.68;7.6;4
0.01;0.07;0.26;1.31;3.59;4
0.05;0.16;0.47;2.15;6.32;4
0.04;0.11;0.55;2.03;7.28;4
0.03;0.12;0.46;1.71;7.47;4
0.04;0.16;0.53;2.03;7.73;4
0.02;0.09;0.39;1.81;7.23;4
0.03;0.1;0.47;1.92;6.99;4
0.02;0.1;0.45;1.8;4.37;4
0.03;0.12;0.5;2.12;6.51;4
0.04;0.15;0.43;1.77;6.04;4
0.01;0.11;0.46;1.73;5.62;4
0.03;0.15;0.45;1.28;4.56;4
0.04;0.08;0.45;1.61;5.3;4
0.04;0.15;0.42;1.9;7.31;4
0.04;0.19;0.57;2.15;7.15;4
0.02;0.08;0.29;1.21;4.51;4
0.02;0.09;0.36;1.78;6.2;4
0.04;0.15;0.51;2.19;6.61;4
0.01;0.12;0.61;2.07;6.88;4
0.06;0.12;0.44;1.71;5.59;4
0.06;0.11;0.32;1.69;7.6;4
0.05;0.12;0.54;1.87;7.27;4
0.05;0.18;0.52;1.44;4.95;4
0.0;0.06;0.4;1.84;5.15;4
0.01;0.09;0.33;1.84;7.84;4
0.02;0.11;0.39;1.34;4.28;4
0.0;0.08;0.3;1.19;3.9;4
0.03;0.13;0.38;1.4;4.61;4
0.06;0.12;0.5;1.06;3.08;4
0.02;0.16;0.48;1.81;6.51;4
0.04;0.1;0.52;1.99;5.99;4
0.0;0.1;0.63;2.16;6.97;4
0.02;0.1;0.47;1.8;5.68;4
0.06;0.15;0.49;1.4;4.75;4
0.04;0.11;0.55;1.9;5.62;4
0.0;0.07;0.37;2.14;6.46;4
0.01;0.09;0.58;2.09;7.05;4
0.02;0.06;0.18;0.9;3.19;4
0.03;0.1;0.4;1.39;5.02;4
0.03;0.15;0.58;2.07;7.49;4
0.02;0.06;0.29;1.73;7.61;4
0.02;0.12;0.41;1.36;4.31;4
0.03;0.11;0.46;1.5;4.33;4
0.03;0.14;0.44;1.78;5.49;4
0.04;0.14;0.53;2.04;4.96;4
0.01;0.13;0.5;1.91;6.53;4
0.0;0.04;0.38;1.69;4.04;4
0.01;0.09;0.41;1.68;6.88;4
0.02;0.12;0.39;2.16;5.94;4
0.03;0.11;0.32;1.17;3.88;4
0.02;0.05;0.19;0.99;3.6;4
0.05;0.1;0.5;1.99;7.13;4
0.01;0.06;0.4;1.65;7.65;4
0.04;0.1;0.47;1.83;5.87;4
0.03;0.07;0.44;1.81;7.43;4
0.07;0.18;0.58;2.11;6.11;4
0.02;0.14;0.55;2.11;7.06;4
0.01;0.11;0.44;2.14;6.11;4
0.03;0.12;0.32;0.98;4.04;4
0.03;0.13;0.44;2.2;6.76;4
0.03;0.09;0.55;1.9;6.44;4
0.02;0.16;0.46;1.68;5.58;4
0.03;0.08;0.37;1.36;4.48;4
0.02;0.06;0.34;0.96;2.94;4
0.01;0.09;0.48;1.4;4.31;4
0.05;0.14;0.49;1.82;6.1;4
0.05;0.17;0.47;1.34;4.8;4
0.04;0.14;0.5;1.71;7.07;4
0.05;0.12;0.5;1.43;4.92;4
0.06;0.16;0.6;1.45;3.75;4
0.02;0.13;0.47;1.48;5.23;4
0.02;0.14;0.55;1.68;6.31;4
0.05;0.14;0.48;1.73;5.72;4
0.01;0.1;0.4;1.38;4.39;4
0.01;0.06;0.42;1.7;4.3;4
0.04;0.13;0.39;1.35;3.62;4
0.01;0.06;0.47;1.83;6.51;4
0.02;0.13;0.61;2.13;7.17;4
0.01;0.05;0.37;1.6;7.71;4
0.03;0.13;0.43;1.44;3.86;4
0.02;0.16;0.57;2.08;6.6;4
0.04;0.17;0.56;2.09;7.28;4
0.04;0.14;0.43;1.57;4.89;4
0.03;0.06;0.32;1.08;4.19;4
0.05;0.16;0.56;2.06;7.27;4
0.05;0.14;0.39;1.82;5.53;4
0.07;0.17;0.47;1.3;4.33;4
0.02;0.09;0.44;1.83;4.92;4
0.01;0.05;0.24;0.87;3.13;4
0.02;0.08;0.42;1.92;5.77;4
0.06;0.17;0.61;1.54;3.89;4
0.05;0.15;0.45;1.28;4.72;4
0.04;0.11;0.42;1.69;7.02;4
0.02;0.1;0.49;1.5;4.95;4
0.02;0.12;0.54;1.91;6.31;4
0.09;0.16;0.52;1.93;6.76;4
0.02;0.11;0.45;1.34;4.62;4
0.01;0.07;0.48;2.05;6.76;4
0.06;0.17;0.54;1.83;5.07;4
0.01;0.08;0.47;1.69;5.59;4
0.03;0.13;0.54;1.97;4.96;4
0.04;0.07;0.26;1.03;4.33;4
0.04;0.19;0.58;2.03;7.54;4
0.02;0.09;0.29;1.09;3.42;4
0.02;0.11;0.47;1.52;4.3;4
0.01;0.09;0.34;1.52;5.15;4
0.02;0.13;0.35;1.67;7.57;4
0.02;0.17;0.53;2.12;6.25;4
0.03;0.15;0.51;1.81;7.78;4
0.03;0.13;0.39;1.83;6.55;4
0.01;0.11;0.37;1.01;2.72;4
0.02;0.09;0.33;1.38;5.02;4
0.04;0.14;0.48;2.27;6.56;4
0.05;0.09;0.44;1.54;4.82;4
0.03;0.09;0.28;1.07;4.43;4
0.01;0.09;0.41;1.3;3.79;4
0.01;0.06;0.23;0.87;2.53;4
0.01;0.1;0.56;2.13;6.31;4
0.02;0.18;0.51;1.61;5.25;4
0.04;0.12;0.3;1.3;4.83;4
0.04;0.17;0.49;2.04;5.78;4
0.03;0.1;0.42;1.3;3.8;4
0.03;0.14;0.47;1.48;3.88;4
0.02;0.08;0.48;1.61;4.09;4
0.03;0.16;0.51;2.19;6.54;4
0.04;0.14;0.61;1.63;4.5;4
0.03;0.05;0.37;1.7;5.6;4
0.02;0.11;0.55;2.21;6.28;4
0.04;0.09;0.45;1.83;6.9;4
0.02;0.14;0.56;1.65;5.37;4
0.05;0.13;0.44;1.11;3.18;4
0.04;0.16;0.44;1.39;4.36;4
0.03;0.16;0.55;1.91;7.58;4
0.01;0.06;0.36;1.83;7.14;4
0.02;0.14;0.53;2.0;7.25;4
0.04;0.14;0.41;1.09;3.36;4
0.01;0.07;0.21;1.02;3.88;4
0.06;0.08;0.26;0.94;3.74;4
0.03;0.12;0.45;1.28;4.85;4
0.05;0.16;0.42;1.74;5.81;4
0.05;0.14;0.41;1.81;6.83;4
0.07;0.11;0.41;1.44;4.66;4
0.08;0.16;0.57;1.72;4.62;4
0.01;0.07;0.4;1.33;4.36;4
0.01;0.05;0.25;0.94;3.11;4
0.02;0.08;0.35;1.22;4.45;4
0.02;0.06;0.44;1.93;5.45;4
0.01;0.14;0.6;1.73;5.61;4
0.0;0.03;0.35;1.63;7.79;4
0.01;0.09;0.31;1.13;4.04;4
0.0;0.05;0.34;1.61;4.27;4
0.02;0.12;0.44;1.34;4.38;4
0.05;0.11;0.45;1.83;7.0;4
0.03;0.12;0.62;2.05;7.22;4
0.04;0.13;0.43;1.98;4.65;4
0.03;0.11;0.51;1.66;7.39;4
0.03;0.08;0.21;0.93;3.72;4
0.01;0.07;0.44;1.81;6.59;4
0.03;0.09;0.55;1.98;5.68;4
0.06;0.21;0.53;1.54;4.88;4
0.04;0.11;0.44;1.01;3.1;4
0.02;0.06;0.35;1.81;6.54;4
0.06;0.15;0.61;2.13;6.76;4
0.03;0.2;0.49;1.46;4.96;4
0.03;0.12;0.42;1.63;4.9;4
0.02;0.16;0.46;1.65;4.65;4
0.03;0.12;0.41;1.55;4.86;4
0.04;0.14;0.45;1.75;5.65;4
0.05;0.16;0.55;2.03;7.2;4
0.04;0.13;0.38;1.38;3.77;4
0.05;0.17;0.49;1.47;3.69;4
0.02;0.05;0.37;1.77;6.69;4
0.01;0.12;0.38;1.48;5.23;4
0.04;0.15;0.46;1.69;5.59;4
0.01;0.12;0.52;1.67;6.17;4
0.01;0.1;0.4;1.26;4.23;4
0.02;0.09;0.36;1.69;5.56;4
0.01;0.07;0.46;2.12;6.06;4
0.0;0.16;0.35;1.7;7.24;4
0.0;0.06;0.33;1.56;7.62;4
0.03;0.14;0.4;1.52;5.31;4
0.03;0.15;0.5;1.95;7.13;4
0.04;0.16;0.54;2.02;5.3;4
0.02;0.12;0.49;1.67;5.69;4
0.02;0.11;0.42;1.79;7.77;4
0.02;0.09;0.47;1.95;7.07;4
0.04;0.15;0.43;1.79;6.03;4
0.07;0.16;0.48;1.97;6.89;4
0.08;0.15;0.47;1.4;4.9;4
0.07;0.13;0.33;0.74;2.47;4
0.01;0.07;0.25;0.93;2.93;4
0.01;0.09;0.51;1.44;4.36;4
0.02;0.06;0.43;1.61;5.45;4
0.03;0.11;0.44;1.7;5.15;4
0.02;0.16;0.31;0.69;2.48;4
0.01;0.09;0.39;1.61;5.47;4
0.01;0.08;0.4;1.49;4.94;4
0.02;0.08;0.34;0.91;3.85;4
0.03;0.07;0.3;1.15;3.6;4
0.03;0.11;0.4;1.29;4.11;4
0.03;0.17;0.48;1.72;4.97;4
0.05;0.14;0.51;2.01;7.72;4
0.02;0.11;0.45;1.88;5.29;4
0.02;0.12;0.52;1.68;5.55;4
0.04;0.11;0.41;0.9;2.79;4
0.08;0.18;0.53;1.51;4.97;4
0.04;0.12;0.36;1.22;4.44;4
0.03;0.08;0.43;1.79;7.29;4
0.02;0.14;0.55;1.78;4.52;4
0.06;0.14;0.41;1.0;2.97;4
0.01;0.11;0.46;1.84;7.13;4
0.05;0.14;0.52;2.1;6.36;4
0.03;0.14;0.48;1.66;7.59;4
0.01;0.07;0.47;1.84;5.67;4
0.0;0.06;0.27;1.1;3.5;4
0.02;0.13;0.43;1.74;7.66;4
0.03;0.1;0.41;1.61;4.97;4
0.01;0.07;0.39;1.67;6.53;4
0.02;0.06;0.54;1.85;7.66;4
0.03;0.14;0.37;1.23;4.35;4
0.01;0.08;0.36;1.41;3.95;4
0.03;0.11;0.42;2.11;6.37;4
0.03;0.13;0.46;1.66;4.6;4
0.03;0.17;0.6;2.03;7.5;4
0.04;0.17;0.57;2.18;7.34;4
0.02;0.17;0.53;1.3;3.44;4
0.07;0.19;0.52;1.75;4.83;4
0.02;0.11;0.55;1.12;3.14;4
0.0;0.03;0.33;1.79;6.54;4
0.04;0.11;0.56;2.13;6.34;4
0.01;0.1;0.41;1.69;6.28;4
0.02;0.18;0.49;1.94;6.7;4
0.01;0.08;0.42;1.86;7.4;4
0.03;0.15;0.45;1.64;5.24;4
0.01;0.08;0.54;1.89;7.81;4
0.03;0.13;0.61;1.9;4.97;4
0.0;0.08;0.37;0.96;2.77;4
0.03;0.12;0.4;1.59;5.07;4
0.06;0.12;0.32;1.1;4.15;4
0.02;0.1;0.33;1.08;3.27;4
0.07;0.17;0.38;0.87;2.73;4
0.03;0.11;0.5;1.96;5.91;4
0.02;0.07;0.38;1.34;3.89;4
0.01;0.07;0.47;1.59;5.05;4
0.09;0.2;0.54;1.53;5.03;4
0.04;0.1;0.52;2.05;5.24;4
0.02;0.1;0.52;1.95;5.71;4
0.02;0.05;0.4;1.85;6.87;4
0.04;0.09;0.55;2.07;6.0;4
0.03;0.13;0.53;2.19;6.89;4
0.01;0.11;0.43;1.49;5.07;4
0.01;0.06;0.31;0.94;3.63;4
0.02;0.11;0.43;1.88;7.03;4
0.02;0.11;0.4;1.87;5.48;4
0.03;0.08;0.34;1.72;7.61;4
0.04;0.12;0.65;2.08;6.58;4
0.03;0.1;0.39;1.48;4.87;4
0.04;0.1;0.5;1.69;7.36;4
0.01;0.05;0.47;1.97;5.55;4
0.0;0.12;0.64;1.8;5.35;4
0.05;0.18;0.62;2.12;7.22;4
0.02;0.04;0.26;0.7;2.58;4
0.02;0.07;0.25;0.99;3.17;4
0.0;0.1;0.47;1.8;7.57;4
0.02;0.12;0.38;1.7;7.54;4
0.01;0.09;0.31;1.17;3.88;4
0.01;0.08;0.4;1.7;5.8;4
0.03;0.08;0.4;1.68;6.73;4
0.01;0.11;0.46;1.49;4.55;4
0.01;0.09;0.34;1.04;4.11;4
0.05;0.13;0.55;2.05;7.45;4
0.02;0.12;0.48;2.07;6.63;4
0.03;0.11;0.43;1.68;7.65;4
0.03;0.14;0.58;1.92;7.1;4
0.05;0.15;0.47;1.7;5.78;4
0.03;0.12;0.46;1.7;7.47;4
0.05;0.12;0.4;1.82;5.79;4
0.07;0.2;0.64;1.97;5.85;4
0.03;0.14;0.42;1.84;5.92;4
0.03;0.07;0.27;1.2;3.55;4
0.01;0.07;0.43;1.52;4.28;4
0.0;0.07;0.41;1.76;6.01;4
0.07;0.14;0.51;2.01;6.79;4
0.05;0.15;0.39;1.75;7.58;4
0.02;0.11;0.44;1.73;4.38;4
0.02;0.14;0.43;1.02;3.06;4
0.03;0.14;0.56;2.04;7.53;4
0.0;0.11;0.41;1.79;7.51;4
0.05;0.16;0.39;1.75;5.86;4
0.06;0.17;0.38;0.88;2.73;4
0.06;0.12;0.35;1.38;3.46;4
0.03;0.13;0.37;1.79;7.3;4
0.03;0.15;0.56;2.19;6.64;4
0.02;0.15;0.46;1.29;4.67;4
0.01;0.13;0.48;1.56;5.31;4
0.04;0.11;0.34;1.13;4.26;4
0.01;0.1;0.4;1.77;7.47;4
0.02;0.05;0.42;1.9;7.42;4
0.01;0.09;0.48;1.71;6.34;4
0.02;0.11;0.45;2.05;6.45;4
0.04;0.09;0.37;2.08;6.21;4
0.05;0.14;0.45;1.69;5.01;4
0.04;0.11;0.44;1.04;3.0;4
0.03;0.07;0.29;1.16;4.25;4
0.02;0.08;0.43;1.67;7.39;4
0.0;0.11;0.49;2.06;6.74;4
0.0;0.02;0.22;0.96;3.84;4
0.01;0.06;0.21;0.97;4.4;4
0.02;0.06;0.31;1.73;7.62;4
0.02;0.15;0.4;1.38;4.02;4
0.01;0.13;0.43;1.85;7.82;4
0.02;0.08;0.33;1.04;4.58;4
0.03;0.06;0.36;1.68;5.57;4
0.01;0.08;0.35;1.08;4.08;4
0.03;0.16;0.48;1.35;3.6;4
0.04;0.1;0.42;1.82;7.45;4
0.01;0.08;0.33;1.82;7.88;4
0.01;0.08;0.44;1.49;4.87;4
0.03;0.15;0.48;2.21;6.29;4
0.07;0.19;0.48;1.41;4.75;4
0.01;0.16;0.51;1.52;4.67;4
0.06;0.14;0.5;1.26;4.37;4
0.0;0.06;0.41;1.72;6.12;4
0.02;0.09;0.39;1.68;6.63;4
0.05;0.17;0.5;1.38;3.59;4
0.02;0.08;0.41;1.8;6.2;4
0.01;0.05;0.23;0.96;3.05;4
0.01;0.08;0.42;1.88;7.51;4
0.04;0.11;0.53;1.54;5.18;4
0.04;0.13;0.51;1.83;7.37;4
0.07;0.15;0.5;2.03;6.88;4
0.02;0.1;0.59;2.0;5.81;4
0.02;0.13;0.54;2.13;6.09;4
0.02;0.09;0.45;1.61;4.52;4
0.05;0.21;0.67;2.0;5.48;4
0.06;0.18;0.52;1.51;4.99;4
0.02;0.15;0.53;1.71;6.18;4
0.01;0.1;0.46;2.0;5.96;4
0.06;0.19;0.5;1.78;4.88;4
0.0;0.1;0.36;1.85;4.19;4
0.0;0.1;0.61;1.87;4.52;4
0.07;0.21;0.56;2.15;6.75;4
0.03;0.11;0.45;1.71;7.45;4
0.03;0.13;0.51;2.22;6.5;4
0.05;0.12;0.36;1.28;4.39;4
0.01;0.12;0.35;1.68;5.15;4
0.01;0.14;0.5;1.44;4.76;4
0.03;0.09;0.36;0.91;2.51;4
0.05;0.17;0.61;1.97;5.98;4
0.02;0.08;0.38;1.74;7.54;4
0.04;0.1;0.41;1.83;6.07;4
0.04;0.14;0.43;1.86;5.76;4
0.05;0.15;0.58;2.04;7.57;4
0.03;0.09;0.42;1.68;4.67;4
0.01;0.08;0.45;1.43;4.89;4
0.01;0.05;0.26;0.87;2.59;4
0.03;0.1;0.46;1.1;3.03;4
0.02;0.05;0.47;1.49;3.66;4
0.02;0.18;0.66;2.01;5.67;4
0.06;0.14;0.57;1.98;7.64;4
0.02;0.15;0.38;1.85;7.53;4
0.02;0.07;0.35;1.14;3.6;4
0.03;0.15;0.43;1.74;7.57;4
0.06;0.14;0.46;1.5;3.91;4
0.03;0.11;0.43;1.75;6.28;4
0.06;0.16;0.61;1.93;7.44;4
0.03;0.11;0.47;1.67;4.49;4
0.02;0.11;0.56;1.87;6.32;4
0.01;0.02;0.24;0.96;4.02;4
0.03;0.15;0.4;1.32;4.85;4
0.01;0.09;0.52;1.71;6.17;4
0.02;0.11;0.43;1.75;7.19;4
0.01;0.08;0.42;1.55;5.2;4
0.03;0.17;0.58;2.18;7.39;4
0.02;0.14;0.46;1.77;7.21;4
0.03;0.1;0.43;1.83;7.08;4
0.05;0.1;0.5;2.0;7.13;4
0.07;0.18;0.51;1.91;5.16;4
0.03;0.11;0.38;2.08;6.23;4
0.02;0.1;0.36;1.73;7.56;4
0.02;0.17;0.59;2.15;6.61;4
0.03;0.09;0.34;1.87;7.89;4
0.05;0.16;0.55;1.82;4.97;4
0.01;0.08;0.33;1.83;6.85;4
0.05;0.13;0.52;1.64;4.52;4
0.01;0.1;0.53;1.85;4.5;4
0.05;0.12;0.55;2.18;6.82;4
0.03;0.09;0.41;1.73;7.17;4
0.05;0.16;0.44;1.91;6.84;4
0.03;0.15;0.44;1.95;7.18;4
0.0;0.05;0.18;0.97;3.89;4
0.04;0.17;0.57;1.94;7.32;4
0.05;0.17;0.54;1.67;4.54;4
0.02;0.1;0.45;1.88;6.53;4
0.04;0.12;0.47;1.94;6.67;4
0.02;0.11;0.43;1.72;7.31;4
0.02;0.08;0.37;1.99;6.05;4
0.01;0.11;0.43;1.9;6.69;4
0.02;0.1;0.44;1.53;3.92;4
0.03;0.14;0.37;1.35;4.46;4
0.02;0.08;0.39;1.36;4.42;4
0.01;0.05;0.35;1.29;4.16;4
0.01;0.1;0.4;1.8;5.53;4
0.06;0.19;0.54;1.94;5.24;4
0.03;0.1;0.52;1.88;5.98;4
0.05;0.19;0.56;1.44;3.7;4
0.08;0.2;0.53;1.73;4.67;4
0.01;0.07;0.41;1.87;7.13;4
0.03;0.13;0.5;1.56;4.37;4
0.02;0.15;0.47;1.65;4.13;4
0.05;0.18;0.49;1.6;3.97;4
0.0;0.11;0.38;1.43;5.05;4
0.01;0.11;0.56;2.21;6.88;4
0.01;0.05;0.49;1.84;6.69;4
0.04;0.12;0.44;1.82;7.6;4
0.05;0.11;0.54;2.02;7.22;4
0.03;0.14;0.36;1.25;4.52;4
0.05;0.12;0.32;1.07;4.16;4
0.02;0.08;0.55;1.95;5.84;4
0.02;0.11;0.39;1.75;5.76;4
0.03;0.13;0.45;1.71;7.59;4
0.02;0.11;0.29;1.16;4.75;4
0.03;0.11;0.49;2.04;6.68;4
0.04;0.17;0.58;2.07;7.4;4
0.01;0.09;0.4;1.29;4.01;4
0.05;0.11;0.45;1.65;5.13;4
0.02;0.14;0.52;1.84;7.8;4
0.02;0.14;0.36;1.22;4.06;4
0.0;0.09;0.38;1.7;5.73;4
0.0;0.09;0.34;1.76;6.36;4
0.01;0.09;0.35;1.71;7.69;4
0.01;0.08;0.28;0.94;3.85;4
0.03;0.12;0.5;1.43;4.99;4
0.01;0.07;0.47;2.07;6.01;4
0.02;0.12;0.49;1.53;4.33;4
0.01;0.07;0.44;2.08;6.65;4
0.02;0.13;0.37;1.01;3.1;4
0.03;0.11;0.34;1.2;3.71;4
0.04;0.15;0.47;1.32;4.77;4
0.02;0.05;0.43;1.82;6.6;4
0.03;0.09;0.49;1.98;7.23;4
0.02;0.11;0.33;1.6;7.5;4
0.06;0.1;0.31;1.37;3.51;4
0.04;0.1;0.48;1.86;6.96;4
0.07;0.11;0.5;2.01;6.17;4
0.06;0.18;0.59;2.2;7.24;4
0.05;0.21;0.58;2.17;6.62;4
0.01;0.11;0.48;1.16;3.06;4
0.05;0.15;0.44;1.74;6.02;4
0.03;0.07;0.29;0.99;2.72;4
0.07;0.16;0.51;1.41;3.63;4
0.01;0.1;0.37;1.69;5.98;4
0.02;0.08;0.27;0.89;3.84;4
0.02;0.08;0.58;1.91;5.66;4
0.04;0.12;0.36;1.09;4.22;4
0.05;0.17;0.55;1.47;3.67;4
0.02;0.05;0.32;1.0;3.0;4
0.04;0.17;0.47;1.34;4.62;4
0.02;0.08;0.39;1.81;5.66;4
0.04;0.11;0.43;1.28;3.63;4
0.03;0.09;0.35;1.85;7.21;4
0.03;0.13;0.7;2.18;6.71;4
0.05;0.18;0.49;1.56;3.87;4
0.02;0.07;0.39;1.49;3.96;4
0.03;0.09;0.43;1.59;5.03;4
0.02;0.1;0.45;1.94;7.11;4
0.07;0.15;0.65;1.9;5.59;4
0.04;0.13;0.44;1.71;6.92;4
0.05;0.1;0.35;1.36;3.5;4
0.03;0.1;0.44;1.35;3.63;4
0.05;0.15;0.47;1.97;6.99;4
0.03;0.13;0.58;2.08;6.72;4
0.03;0.06;0.26;0.96;3.25;4
0.04;0.16;0.53;1.67;5.26;4
0.04;0.1;0.54;1.98;6.0;4
0.05;0.16;0.48;1.43;4.73;4
0.0;0.04;0.24;1.03;4.32;4
0.03;0.14;0.45;1.78;7.67;4
0.05;0.18;0.56;1.6;3.83;4
0.02;0.16;0.51;1.86;4.8;4
0.01;0.06;0.44;1.71;5.2;4
0.05;0.19;0.52;1.39;3.6;4
0.04;0.09;0.47;1.79;6.9;4
0.03;0.09;0.41;1.8;6.13;4
0.02;0.09;0.25;1.06;3.36;4
0.01;0.08;0.47;1.68;5.57;4
0.0;0.12;0.44;2.0;5.93;4
0.02;0.13;0.46;1.36;4.83;4
0.03;0.07;0.36;1.18;4.37;4
0.04;0.11;0.48;2.05;5.07;4
0.01;0.09;0.5;1.88;5.81;4
0.03;0.14;0.58;1.74;4.74;4
0.01;0.1;0.43;1.83;4.55;4
0.01;0.1;0.53;2.0;5.73;4
0.06;0.16;0.56;2.06;7.32;4
0.01;0.09;0.42;1.63;5.68;4
0.05;0.19;0.6;2.08;6.14;4
0.05;0.11;0.46;2.05;5.19;4
0.03;0.17;0.55;2.17;6.93;4
0.04;0.14;0.57;2.07;7.42;4
0.04;0.17;0.46;1.67;5.47;4
0.04;0.12;0.36;2.07;6.02;4
0.02;0.11;0.48;1.9;7.53;4
0.03;0.08;0.37;1.79;7.19;4
0.03;0.1;0.5;1.69;5.55;4
0.01;0.05;0.38;1.78;7.21;4
0.03;0.13;0.53;2.1;6.65;4
0.02;0.07;0.25;0.62;2.37;4
0.0;0.1;0.52;1.87;7.69;4
0.06;0.13;0.43;1.66;5.58;4
0.04;0.11;0.46;1.87;6.94;4
0.03;0.16;0.6;1.76;4.42;4
0.01;0.09;0.36;1.76;7.56;4
0.02;0.09;0.42;1.72;6.23;4
0.04;0.15;0.45;1.95;6.9;4
0.02;0.17;0.49;1.92;7.73;4
0.02;0.08;0.38;1.15;3.99;4
0.02;0.15;0.45;1.7;5.45;4
0.04;0.16;0.57;1.97;7.47;4
0.01;0.1;0.42;1.74;5.08;4
0.02;0.13;0.41;1.82;5.8;4
0.01;0.13;0.42;1.8;6.04;4
0.04;0.12;0.44;1.74;7.68;4
0.04;0.13;0.51;1.97;7.01;4
0.05;0.17;0.46;1.32;4.7;4
0.03;0.11;0.46;1.86;7.56;4
0.02;0.08;0.44;1.59;4.5;4
0.03;0.09;0.35;1.43;4.57;4
0.03;0.08;0.41;1.78;7.29;4
0.02;0.08;0.5;1.33;4.72;4
0.03;0.08;0.48;1.66;7.35;4
0.01;0.04;0.19;0.97;3.7;4
0.03;0.09;0.46;1.93;7.76;4
0.02;0.09;0.52;1.96;4.83;4
0.01;0.07;0.6;1.94;7.62;4
0.04;0.13;0.3;1.01;4.02;4
0.02;0.07;0.48;1.72;7.25;4
0.01;0.07;0.41;1.37;4.13;4
0.03;0.15;0.45;1.25;4.51;4
0.01;0.1;0.57;2.05;6.19;4
0.04;0.18;0.51;1.69;4.62;4
0.01;0.06;0.45;2.16;6.1;4
0.04;0.07;0.39;1.19;4.44;4
0.03;0.16;0.44;1.79;6.77;4
0.04;0.09;0.32;1.15;4.07;4
0.02;0.09;0.46;1.77;6.16;4
0.05;0.2;0.64;1.96;5.67;4
0.07;0.12;0.55;2.01;7.38;4
0.04;0.09;0.41;1.43;4.93;4
0.02;0.12;0.47;1.7;5.35;4
0.0;0.16;0.45;1.24;4.49;4
0.03;0.12;0.41;1.52;4.69;4
0.05;0.16;0.51;1.75;6.61;4
0.03;0.13;0.48;1.81;5.46;4
0.03;0.1;0.45;1.69;6.13;4
0.0;0.07;0.43;1.66;3.93;4
0.03;0.1;0.35;1.78;7.55;4
0.04;0.1;0.48;1.73;7.71;4
0.08;0.14;0.43;1.34;4.66;4
0.02;0.12;0.38;1.19;4.14;4
0.05;0.14;0.53;1.98;7.71;4
0.04;0.14;0.48;1.74;5.93;4
0.06;0.15;0.52;1.75;6.12;4
0.02;0.11;0.46;1.88;5.7;4
0.07;0.2;0.51;1.45;4.96;4
0.03;0.1;0.54;1.77;5.26;4
0.06;0.15;0.5;2.21;6.49;4
0.04;0.15;0.46;1.31;4.81;4
0.02;0.13;0.39;1.2;4.44;4
0.01;0.06;0.36;1.76;6.05;4
0.01;0.09;0.45;2.31;5.56;4
0.03;0.13;0.52;1.54;5.12;4
0.01;0.09;0.39;1.45;3.77;4
0.02;0.1;0.4;1.71;6.57;4
0.01;0.07;0.29;1.04;2.99;4
0.05;0.13;0.4;1.26;4.0;4
0.04;0.13;0.44;1.65;5.35;4
0.03;0.15;0.4;1.73;7.58;4
0.01;0.11;0.3;1.22;4.52;4
0.02;0.19;0.56;2.11;6.46;4
0.0;0.0;0.23;0.99;3.76;4
0.03;0.06;0.31;1.72;6.7;4
